collection_date,count
2023-08-24,74
2023-09-05,74
2023-09-10,63
2023-08-29,58
2023-08-31,58
2023-09-12,47
2023-08-21,42
2023-09-14,42
2023-09-07,37
2023-09-21,37
2023-09-19,34
2023-09-06,33
2023-08-10,29
2023-08-14,28
2023-08-23,23
2023-08-17,23
2023-08-28,21
2023-08-22,20
2023-09-11,17
2023-09-04,17
2023-08-30,16
2023-03-22,14
2023-03-15,14
2023-03-01,13
2023-02-22,13
2023-08-08,13
2023-03-08,13
2023-02-13,13
2023-02-27,12
2023-03-20,12
2023-02-20,10
2023-09-13,10
2023-02-15,10
2023-03-06,10
2023-08-09,9
2023-08-07,9
2023-02-14,9
2023-03-13,9
2023-08-20,8
2023-03-02,8
2023-03-07,8
2023-03-09,8
2023-03-21,7
2023-03-16,7
2023-02-28,7
2023-03-14,7
2023-03-23,7
2023-02-23,6
2023-09-01,6
2023-05-22,6
2023-03-12,5
2023-06-28,5
2023-08-15,5
2023-05-17,5
2023-06-07,4
2023-08-16,4
2023-08-25,4
2023-02-12,3
2023-03-05,3
2023-09-20,3
2023-03-10,2
2023-08-27,2
2023-08-13,2
2023-07-26,2
2023-02-26,2
2023-02-16,2
2023-09-02,2
2023-06-22,2
2023-06-20,2
2023-02-08,2
2023-02-24,1
2023-02-21,1
2023-09-03,1
2023-08-18,1
2023-09-08,1
2023-05-01,1
2023-03-03,1
2023-08-06,1
2023-07-31,1
2023-07-28,1
2023-07-24,1
2023-07-19,1
2023-07-17,1
2023-06-26,1
2023-03-17,1
2023-03-19,1
2023-06-12,1
2023-02-07,1
